epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5967,1.43007,2.02589,1.60445,0.8417,0.5317,0.71345,0.33365,1.42451,2.5218,1.93951,0.000656863,0.000656863,0.000656863
2,20.7954,1.45825,1.77137,1.63485,0.4809,0.43214,0.41948,0.15738,1.99226,3.37538,2.74888,0.00131043,0.00131043,0.00131043
3,30.9657,1.53819,1.68011,1.686,0.1263,0.09286,0.05067,0.01402,3.09351,3.25272,4.08125,0.00195079,0.00195079,0.00195079
4,41.1116,1.50357,1.51291,1.64738,0.49304,0.40357,0.4113,0.15456,2.29153,2.15901,2.55796,0.0019406,0.0019406,0.0019406
5,51.2287,1.45876,1.39803,1.61605,0.7402,0.67159,0.73206,0.35788,1.73194,1.45477,2.09118,0.0019208,0.0019208,0.0019208
6,61.4519,1.41489,1.29396,1.58204,0.74952,0.73571,0.78734,0.37731,1.61189,1.3529,1.94554,0.001901,0.001901,0.001901
7,71.7385,1.42051,1.24667,1.55434,0.71524,0.7,0.72956,0.34072,1.57639,1.34359,1.90738,0.0018812,0.0018812,0.0018812
8,81.9795,1.38865,1.21244,1.54545,0.85407,0.75248,0.84797,0.4758,1.51849,1.20515,1.89369,0.0018614,0.0018614,0.0018614
9,92.1531,1.34701,1.14423,1.50555,0.78672,0.78929,0.83201,0.41684,1.60241,1.2193,2.0611,0.0018416,0.0018416,0.0018416
10,102.139,1.38222,1.16083,1.52929,0.80124,0.76071,0.85195,0.44162,1.53548,1.20995,1.87848,0.0018218,0.0018218,0.0018218
11,112.686,1.35886,1.14987,1.50598,0.88332,0.86071,0.90546,0.50734,1.42073,1.06326,1.79168,0.001802,0.001802,0.001802
12,122.885,1.37285,1.10192,1.52354,0.87743,0.86071,0.9206,0.525,1.40619,0.93559,1.74249,0.0017822,0.0017822,0.0017822
13,133.103,1.29908,1.04267,1.4736,0.92073,0.87857,0.9284,0.50656,1.51711,0.89314,1.85281,0.0017624,0.0017624,0.0017624
14,143.236,1.31038,0.9944,1.45081,0.9099,0.82959,0.91038,0.55035,1.3482,0.91802,1.69357,0.0017426,0.0017426,0.0017426
15,153.491,1.27747,1.03235,1.46455,0.92399,0.90714,0.94941,0.61112,1.22498,0.79213,1.57737,0.0017228,0.0017228,0.0017228
16,163.657,1.27612,0.97844,1.45163,0.9066,0.90137,0.92132,0.54107,1.3625,0.8282,1.69785,0.001703,0.001703,0.001703
17,173.77,1.28069,0.95958,1.43958,0.87617,0.86071,0.93081,0.56253,1.3265,0.85428,1.65702,0.0016832,0.0016832,0.0016832
18,183.896,1.26251,0.95831,1.42898,0.9475,0.90243,0.95204,0.61161,1.24474,0.70149,1.58913,0.0016634,0.0016634,0.0016634
19,194.167,1.21504,0.92091,1.39641,0.95228,0.87143,0.95321,0.57775,1.28851,0.79689,1.61361,0.0016436,0.0016436,0.0016436
20,204.226,1.24267,0.91186,1.41865,0.93366,0.89643,0.93926,0.56729,1.33317,0.80268,1.63967,0.0016238,0.0016238,0.0016238
21,214.31,1.2484,0.90344,1.41017,0.92556,0.90714,0.95449,0.59263,1.27694,0.75098,1.63978,0.001604,0.001604,0.001604
22,224.524,1.21986,0.87468,1.39999,0.93087,0.91374,0.96174,0.59576,1.25322,0.73881,1.55781,0.0015842,0.0015842,0.0015842
