epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0183,1.46012,2.02956,1.61224,0.70916,0.58923,0.64802,0.30832,1.53379,2.37811,2.00546,0.000656863,0.000656863,0.000656863
2,36.307,1.44376,1.6213,1.5911,0.64792,0.60606,0.62971,0.28386,1.73684,1.93119,2.19147,0.00131043,0.00131043,0.00131043
3,47.0902,1.45081,1.49819,1.61835,0.62153,0.48658,0.54139,0.20339,2.00456,1.84978,2.23205,0.00195079,0.00195079,0.00195079
