epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9879,1.45343,1.97817,1.61679,0.45235,0.50659,0.41643,0.16031,1.75402,2.39284,1.98138,0.000658537,0.000658537,0.000658537
2,27.6718,1.44875,1.63019,1.60251,0.442,0.42067,0.3564,0.12794,2.47128,2.06709,2.72051,0.00131208,0.00131208,0.00131208
3,40.1805,1.50427,1.5061,1.6591,0.06333,0.10923,0.02878,0.00968,2.7804,3.90855,3.54281,0.00195243,0.00195243,0.00195243
4,52.6228,1.51088,1.40564,1.65412,0.576,0.57062,0.5663,0.19652,2.22282,2.04281,2.63322,0.0019406,0.0019406,0.0019406
5,65.2217,1.48316,1.3064,1.60964,0.72627,0.69868,0.76461,0.33356,1.81616,1.49111,2.09368,0.0019208,0.0019208,0.0019208
6,77.9239,1.46999,1.2506,1.59122,0.80191,0.76271,0.82776,0.42397,1.56813,1.2718,1.79499,0.001901,0.001901,0.001901
7,90.5843,1.40542,1.19495,1.55085,0.84865,0.80257,0.87135,0.46028,1.5507,1.08517,1.8192,0.0018812,0.0018812,0.0018812
8,103.208,1.39559,1.14074,1.54242,0.7799,0.77778,0.84052,0.4875,1.41904,1.03486,1.6562,0.0018614,0.0018614,0.0018614
9,115.82,1.34577,1.10873,1.51319,0.85944,0.85212,0.87317,0.50251,1.39027,1.01053,1.6837,0.0018416,0.0018416,0.0018416
10,128.589,1.33862,1.06842,1.49957,0.83242,0.88136,0.89892,0.51689,1.37037,1.00466,1.63209,0.0018218,0.0018218,0.0018218
11,141.136,1.34092,1.04706,1.48535,0.88454,0.89077,0.91882,0.5849,1.24314,0.88477,1.53911,0.001802,0.001802,0.001802
12,153.792,1.32753,1.0104,1.47858,0.88187,0.89266,0.92262,0.57414,1.27879,0.86871,1.53263,0.0017822,0.0017822,0.0017822
13,166.393,1.28364,0.97847,1.46896,0.89065,0.85499,0.92165,0.5431,1.33793,0.87881,1.59349,0.0017624,0.0017624,0.0017624
14,179.07,1.28072,0.96274,1.45338,0.92914,0.90019,0.95595,0.61645,1.21614,0.74985,1.49471,0.0017426,0.0017426,0.0017426
15,191.821,1.25925,0.95613,1.43606,0.93298,0.84181,0.93434,0.59937,1.22448,0.78692,1.51015,0.0017228,0.0017228,0.0017228
16,204.39,1.27968,0.92786,1.44416,0.92091,0.9096,0.94746,0.6036,1.25468,0.74544,1.49498,0.001703,0.001703,0.001703
17,217.002,1.27074,0.91853,1.43265,0.91931,0.91337,0.94382,0.60254,1.21777,0.73779,1.49692,0.0016832,0.0016832,0.0016832
18,229.757,1.2343,0.8921,1.41505,0.9103,0.87916,0.93819,0.61225,1.26152,0.77788,1.52033,0.0016634,0.0016634,0.0016634
19,242.561,1.2329,0.87268,1.40825,0.93374,0.87571,0.94037,0.59179,1.23802,0.80438,1.49193,0.0016436,0.0016436,0.0016436
20,255.076,1.22787,0.85147,1.40085,0.94694,0.91714,0.95944,0.65262,1.15193,0.68366,1.43407,0.0016238,0.0016238,0.0016238
21,267.777,1.20692,0.84813,1.39308,0.93514,0.91902,0.95949,0.63637,1.14883,0.70862,1.43324,0.001604,0.001604,0.001604
22,280.616,1.2133,0.83319,1.39471,0.94404,0.92134,0.96568,0.64428,1.19509,0.64631,1.47226,0.0015842,0.0015842,0.0015842
23,293.271,1.22204,0.83574,1.38848,0.94412,0.93032,0.96607,0.64168,1.15648,0.68758,1.41048,0.0015644,0.0015644,0.0015644
24,305.977,1.19322,0.81036,1.38325,0.94047,0.92224,0.95502,0.64907,1.11976,0.67039,1.41049,0.0015446,0.0015446,0.0015446
25,318.57,1.21059,0.84124,1.38337,0.95868,0.9176,0.96548,0.66249,1.13026,0.66338,1.4057,0.0015248,0.0015248,0.0015248
26,331.276,1.1813,0.78015,1.36037,0.95008,0.93191,0.96573,0.63607,1.16577,0.6717,1.44533,0.001505,0.001505,0.001505
27,343.934,1.15662,0.79112,1.35554,0.94516,0.94132,0.97138,0.68359,1.06282,0.59858,1.36465,0.0014852,0.0014852,0.0014852
28,356.837,1.15661,0.77806,1.3609,0.94723,0.94539,0.96844,0.6767,1.08144,0.59537,1.3834,0.0014654,0.0014654,0.0014654
29,369.369,1.17454,0.79168,1.36172,0.95134,0.92042,0.96298,0.6749,1.07898,0.62316,1.36457,0.0014456,0.0014456,0.0014456
30,382.077,1.15319,0.76603,1.35592,0.95392,0.93974,0.97353,0.66619,1.10493,0.62366,1.3901,0.0014258,0.0014258,0.0014258
31,394.787,1.13696,0.76595,1.33539,0.95846,0.94162,0.97605,0.70994,1.01583,0.58832,1.31685,0.001406,0.001406,0.001406
32,407.541,1.14065,0.75416,1.34503,0.94309,0.9322,0.9703,0.68806,1.05453,0.56536,1.36069,0.0013862,0.0013862,0.0013862
33,420.186,1.11964,0.74247,1.3229,0.97282,0.94349,0.97538,0.67972,1.09415,0.55295,1.37016,0.0013664,0.0013664,0.0013664
34,432.859,1.12248,0.72609,1.32527,0.96173,0.94659,0.9757,0.69762,1.04963,0.55268,1.34223,0.0013466,0.0013466,0.0013466
35,445.551,1.11971,0.73059,1.33306,0.94198,0.94539,0.97256,0.69442,1.03345,0.56937,1.33136,0.0013268,0.0013268,0.0013268
36,458.143,1.13489,0.72491,1.32611,0.96261,0.94539,0.97979,0.70271,1.03668,0.53867,1.34613,0.001307,0.001307,0.001307
37,470.705,1.09143,0.70628,1.30608,0.9529,0.9435,0.97206,0.7054,1.02948,0.54781,1.32725,0.0012872,0.0012872,0.0012872
38,483.537,1.09563,0.707,1.32141,0.96921,0.9548,0.98258,0.71416,1.00058,0.53273,1.31889,0.0012674,0.0012674,0.0012674
39,496.208,1.08676,0.68412,1.30186,0.92291,0.96941,0.96794,0.68908,1.0201,0.54424,1.33163,0.0012476,0.0012476,0.0012476
40,508.878,1.10799,0.70663,1.30011,0.95516,0.96798,0.9765,0.72182,0.99394,0.52308,1.30253,0.0012278,0.0012278,0.0012278
41,521.635,1.07209,0.7135,1.30501,0.96917,0.94712,0.97971,0.7027,1.03704,0.54809,1.35483,0.001208,0.001208,0.001208
42,534.25,1.06195,0.66814,1.29621,0.96269,0.94915,0.97951,0.72467,0.98729,0.50472,1.30108,0.0011882,0.0011882,0.0011882
43,547.018,1.0776,0.66503,1.28263,0.97136,0.95808,0.98131,0.71116,1.00109,0.49808,1.31724,0.0011684,0.0011684,0.0011684
44,559.689,1.08287,0.66726,1.30818,0.98433,0.9464,0.98433,0.73785,0.95799,0.50442,1.28149,0.0011486,0.0011486,0.0011486
45,572.617,1.04167,0.65628,1.27461,0.968,0.9686,0.98509,0.74297,0.92365,0.49776,1.2468,0.0011288,0.0011288,0.0011288
46,585.392,1.02098,0.63797,1.26694,0.975,0.95494,0.97936,0.73282,0.97114,0.51169,1.28162,0.001109,0.001109,0.001109
47,597.948,1.03503,0.63921,1.27536,0.9724,0.95292,0.98116,0.74448,0.9496,0.46431,1.28365,0.0010892,0.0010892,0.0010892
48,611.291,1.03103,0.64583,1.26547,0.96974,0.96564,0.97942,0.73001,0.97956,0.48069,1.29682,0.0010694,0.0010694,0.0010694
49,628.357,1.01185,0.62376,1.25583,0.97194,0.96045,0.98272,0.71824,0.97872,0.48024,1.31532,0.0010496,0.0010496,0.0010496
50,642.41,1.04429,0.64738,1.26094,0.9659,0.94539,0.97765,0.72492,0.96119,0.48609,1.27802,0.0010298,0.0010298,0.0010298
51,655.314,1.01781,0.62522,1.26188,0.97625,0.96234,0.9812,0.73846,0.9608,0.47354,1.28065,0.00101,0.00101,0.00101
52,668.354,1.03055,0.62837,1.25496,0.97676,0.96987,0.9844,0.74795,0.92911,0.44309,1.26618,0.0009902,0.0009902,0.0009902
53,681.331,1.00764,0.63081,1.26186,0.97327,0.96009,0.977,0.728,0.95443,0.49557,1.26895,0.0009704,0.0009704,0.0009704
54,694.353,1.02022,0.6177,1.25254,0.9782,0.95857,0.98078,0.74943,0.90691,0.48142,1.234,0.0009506,0.0009506,0.0009506
55,707.564,0.97986,0.61084,1.23458,0.97741,0.9661,0.9847,0.75457,0.89442,0.4631,1.25451,0.0009308,0.0009308,0.0009308
56,720.732,0.98561,0.59984,1.2505,0.9815,0.94539,0.98071,0.75107,0.89861,0.48802,1.22028,0.000911,0.000911,0.000911
57,733.796,0.99753,0.60092,1.2419,0.98094,0.96924,0.98456,0.77046,0.86519,0.43105,1.20414,0.0008912,0.0008912,0.0008912
58,746.908,0.98858,0.60061,1.23825,0.96415,0.96422,0.9833,0.76964,0.87669,0.43657,1.21168,0.0008714,0.0008714,0.0008714
59,759.955,0.97125,0.58223,1.22569,0.98656,0.96789,0.98383,0.76992,0.86361,0.41188,1.1952,0.0008516,0.0008516,0.0008516
60,772.905,0.96374,0.57144,1.23419,0.98617,0.96234,0.98573,0.75372,0.91935,0.44627,1.24466,0.0008318,0.0008318,0.0008318
61,785.85,0.96926,0.56885,1.22314,0.97535,0.96876,0.98447,0.76051,0.87799,0.437,1.22338,0.000812,0.000812,0.000812
62,798.997,0.96667,0.57759,1.22775,0.97881,0.96987,0.98487,0.7712,0.86757,0.44066,1.2064,0.0007922,0.0007922,0.0007922
63,811.991,0.97135,0.57208,1.22069,0.98171,0.96045,0.984,0.76905,0.88428,0.42586,1.21285,0.0007724,0.0007724,0.0007724
64,824.835,0.94973,0.56073,1.21956,0.98649,0.96279,0.98574,0.77212,0.85882,0.43502,1.20073,0.0007526,0.0007526,0.0007526
65,837.623,0.94253,0.55681,1.21393,0.98478,0.97474,0.9856,0.77129,0.84443,0.41475,1.18848,0.0007328,0.0007328,0.0007328
66,850.465,0.93708,0.54828,1.20322,0.97662,0.96798,0.97902,0.7694,0.83345,0.4352,1.17897,0.000713,0.000713,0.000713
67,863.359,0.92145,0.54056,1.2049,0.98776,0.95669,0.9895,0.77772,0.83724,0.4224,1.17436,0.0006932,0.0006932,0.0006932
68,876.298,0.93532,0.54816,1.21622,0.97917,0.97402,0.98796,0.7923,0.81424,0.41251,1.16491,0.0006734,0.0006734,0.0006734
69,889.336,0.91766,0.53514,1.20109,0.99168,0.96987,0.98615,0.77659,0.82963,0.40721,1.16919,0.0006536,0.0006536,0.0006536
70,902.343,0.90619,0.52774,1.18912,0.9716,0.9663,0.9852,0.78395,0.83928,0.43399,1.17903,0.0006338,0.0006338,0.0006338
71,915.446,0.91813,0.5465,1.20051,0.97712,0.96492,0.9835,0.78422,0.80993,0.41646,1.1601,0.000614,0.000614,0.000614
72,928.372,0.89083,0.52515,1.17901,0.98508,0.96798,0.9858,0.79104,0.80596,0.41217,1.16389,0.0005942,0.0005942,0.0005942
73,941.346,0.91371,0.53786,1.19922,0.98189,0.96987,0.98527,0.79183,0.788,0.39104,1.14301,0.0005744,0.0005744,0.0005744
74,954.212,0.89629,0.53576,1.18661,0.98225,0.97175,0.98684,0.79696,0.78505,0.38461,1.14621,0.0005546,0.0005546,0.0005546
75,966.872,0.89042,0.51293,1.17993,0.9855,0.97175,0.98514,0.79687,0.76731,0.39005,1.14706,0.0005348,0.0005348,0.0005348
76,979.607,0.87545,0.51027,1.17493,0.99144,0.96987,0.9864,0.79785,0.76384,0.38256,1.13385,0.000515,0.000515,0.000515
77,992.408,0.88695,0.5141,1.17902,0.98266,0.9774,0.98558,0.79476,0.77843,0.37545,1.15065,0.0004952,0.0004952,0.0004952
78,1005,0.86458,0.50743,1.16963,0.98807,0.97175,0.98776,0.80834,0.75534,0.36472,1.1253,0.0004754,0.0004754,0.0004754
79,1017.76,0.86388,0.50868,1.16433,0.97849,0.9774,0.98669,0.80482,0.74658,0.37328,1.12935,0.0004556,0.0004556,0.0004556
80,1030.44,0.86866,0.5065,1.17945,0.99041,0.97296,0.98635,0.79728,0.77067,0.3794,1.14363,0.0004358,0.0004358,0.0004358
81,1043.12,0.85497,0.50206,1.16004,0.98471,0.97033,0.98466,0.7947,0.76794,0.41862,1.13817,0.000416,0.000416,0.000416
82,1055.71,0.86164,0.49923,1.15915,0.98565,0.97552,0.98986,0.80864,0.74226,0.36999,1.12007,0.0003962,0.0003962,0.0003962
83,1068.42,0.84879,0.49166,1.15242,0.9904,0.97363,0.98583,0.80073,0.75891,0.38949,1.1351,0.0003764,0.0003764,0.0003764
84,1081.12,0.84179,0.48581,1.15629,0.9911,0.96987,0.98653,0.81462,0.73122,0.37468,1.11773,0.0003566,0.0003566,0.0003566
85,1093.89,0.85301,0.4951,1.16585,0.9893,0.97175,0.98627,0.81701,0.72436,0.36007,1.11534,0.0003368,0.0003368,0.0003368
86,1106.64,0.82967,0.48151,1.15392,0.97747,0.98051,0.98687,0.81424,0.73839,0.36455,1.12388,0.000317,0.000317,0.000317
87,1119.22,0.83119,0.47851,1.14803,0.98605,0.97363,0.98591,0.80983,0.7387,0.39023,1.12474,0.0002972,0.0002972,0.0002972
88,1132.09,0.84163,0.4735,1.1581,0.98038,0.97552,0.98636,0.82024,0.70871,0.36454,1.10821,0.0002774,0.0002774,0.0002774
89,1144.79,0.81772,0.47092,1.14372,0.98365,0.97552,0.98723,0.82182,0.70828,0.37112,1.0914,0.0002576,0.0002576,0.0002576
90,1157.5,0.81142,0.47166,1.14754,0.98959,0.96798,0.99039,0.82459,0.69335,0.37179,1.09135,0.0002378,0.0002378,0.0002378
91,1170.92,0.68441,0.36858,1.10476,0.98301,0.98051,0.98548,0.81572,0.71403,0.37126,1.1052,0.000218,0.000218,0.000218
92,1183.39,0.6687,0.34543,1.0949,0.98851,0.97225,0.98586,0.80654,0.7312,0.37155,1.12067,0.0001982,0.0001982,0.0001982
93,1195.97,0.65979,0.33624,1.08088,0.98638,0.9774,0.98592,0.82085,0.69743,0.36309,1.09219,0.0001784,0.0001784,0.0001784
94,1208.53,0.65393,0.33492,1.08806,0.99159,0.97363,0.98632,0.82344,0.69547,0.36742,1.10299,0.0001586,0.0001586,0.0001586
95,1221.06,0.66272,0.33388,1.08974,0.98912,0.96987,0.98645,0.8246,0.69711,0.36523,1.09773,0.0001388,0.0001388,0.0001388
96,1233.92,0.62533,0.31771,1.0668,0.98846,0.96807,0.98638,0.82827,0.67776,0.35864,1.08882,0.000119,0.000119,0.000119
