epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6536,1.44211,2.04388,1.59069,0.77961,0.57049,0.71283,0.35211,1.42177,2.3417,1.78118,0.000656863,0.000656863,0.000656863
2,20.9655,1.45902,1.7051,1.60318,0.76907,0.63279,0.73155,0.34751,1.59721,1.78476,2.06919,0.00131043,0.00131043,0.00131043
3,31.1044,1.5236,1.61753,1.65918,0.39145,0.4,0.3561,0.14249,2.07916,3.64371,2.54387,0.00195079,0.00195079,0.00195079
4,41.2689,1.55367,1.5363,1.68672,0.67961,0.57029,0.59717,0.22804,1.94579,2.18112,2.82804,0.0019406,0.0019406,0.0019406
5,51.4478,1.51209,1.40453,1.64485,0.76302,0.80984,0.82363,0.42745,1.46438,1.35056,1.8399,0.0019208,0.0019208,0.0019208
6,61.7251,1.46516,1.2916,1.59491,0.83223,0.77705,0.85294,0.48695,1.42086,1.25765,1.78751,0.001901,0.001901,0.001901
7,72.0176,1.43274,1.19208,1.57153,0.80779,0.78361,0.84147,0.48127,1.40151,1.09735,1.72969,0.0018812,0.0018812,0.0018812
8,82.1824,1.44637,1.22161,1.59181,0.7715,0.79704,0.83094,0.46437,1.53078,1.1314,1.846,0.0018614,0.0018614,0.0018614
9,92.2828,1.41427,1.17353,1.53654,0.89343,0.82464,0.91131,0.5123,1.44731,0.99751,1.72218,0.0018416,0.0018416,0.0018416
10,102.569,1.39732,1.12587,1.53556,0.85453,0.81639,0.88916,0.44468,1.59255,1.0968,1.95485,0.0018218,0.0018218,0.0018218
11,112.728,1.36196,1.09936,1.50073,0.88443,0.78689,0.8889,0.51371,1.36447,0.99824,1.64623,0.001802,0.001802,0.001802
12,122.925,1.37633,1.10633,1.51661,0.88505,0.87869,0.91609,0.55159,1.26714,0.91098,1.60603,0.0017822,0.0017822,0.0017822
13,132.976,1.29951,1.0484,1.47263,0.86994,0.85528,0.91338,0.54833,1.35439,0.96486,1.66652,0.0017624,0.0017624,0.0017624
14,142.965,1.29273,1.00152,1.46153,0.90643,0.85902,0.92206,0.58171,1.24323,0.84735,1.57408,0.0017426,0.0017426,0.0017426
15,153.092,1.28767,1.00942,1.47383,0.84849,0.90164,0.9273,0.55794,1.28075,0.85289,1.60087,0.0017228,0.0017228,0.0017228
16,163.104,1.29822,0.99268,1.46581,0.94244,0.84918,0.93206,0.58529,1.28298,0.85703,1.5906,0.001703,0.001703,0.001703
17,173.236,1.28609,0.98751,1.44896,0.94867,0.91803,0.95612,0.59748,1.28886,0.77236,1.57864,0.0016832,0.0016832,0.0016832
18,183.291,1.25888,0.94919,1.4366,0.93116,0.91148,0.9515,0.60423,1.24546,0.74889,1.54507,0.0016634,0.0016634,0.0016634
19,193.287,1.25654,0.89928,1.42912,0.90452,0.84918,0.89586,0.52157,1.41401,0.91104,1.73883,0.0016436,0.0016436,0.0016436
20,203.291,1.27103,0.94309,1.43678,0.89916,0.90492,0.94274,0.57386,1.27871,0.83237,1.56564,0.0016238,0.0016238,0.0016238
21,213.395,1.2481,0.8917,1.41541,0.94656,0.92459,0.95938,0.62635,1.17745,0.7246,1.48578,0.001604,0.001604,0.001604
22,223.604,1.21232,0.85132,1.39039,0.92656,0.88852,0.94461,0.59678,1.2633,0.8019,1.55672,0.0015842,0.0015842,0.0015842
23,233.581,1.24173,0.89227,1.41704,0.9426,0.91148,0.9499,0.6231,1.2163,0.73904,1.52496,0.0015644,0.0015644,0.0015644
24,243.746,1.2451,0.90056,1.4132,0.94944,0.88852,0.95649,0.63955,1.19051,0.69329,1.472,0.0015446,0.0015446,0.0015446
25,254.019,1.21344,0.85333,1.40255,0.96023,0.91475,0.97244,0.62029,1.23031,0.67258,1.50828,0.0015248,0.0015248,0.0015248
26,264.13,1.2051,0.84602,1.38935,0.92653,0.93115,0.97019,0.62086,1.18515,0.68833,1.50483,0.001505,0.001505,0.001505
27,274.193,1.18376,0.84299,1.38756,0.94658,0.91148,0.96759,0.65279,1.15747,0.65043,1.46297,0.0014852,0.0014852,0.0014852
