epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6267,1.41804,2.00953,1.61438,0.71431,0.55471,0.64228,0.32056,1.54322,2.3213,2.14467,0.000656863,0.000656863,0.000656863
2,20.8472,1.45382,1.70275,1.63313,0.55715,0.51656,0.51771,0.24658,1.83251,1.93546,2.12879,0.00131043,0.00131043,0.00131043
3,31.1739,1.472,1.53753,1.63944,0.59575,0.66887,0.65698,0.28829,1.81791,1.52307,2.01198,0.00195079,0.00195079,0.00195079
4,41.1927,1.50934,1.45873,1.64116,0.53424,0.4216,0.40053,0.15807,2.34038,2.14997,2.87107,0.0019406,0.0019406,0.0019406
5,51.3549,1.48864,1.37004,1.62492,0.61007,0.63907,0.61472,0.2776,1.65643,1.99378,1.96146,0.0019208,0.0019208,0.0019208
6,61.5144,1.45095,1.30698,1.60534,0.68197,0.6755,0.71039,0.34854,1.65385,1.36437,1.88195,0.001901,0.001901,0.001901
7,71.7605,1.41659,1.2275,1.5436,0.84036,0.71467,0.80048,0.4057,1.69388,1.28165,1.94109,0.0018812,0.0018812,0.0018812
8,82.0229,1.40518,1.15567,1.54837,0.74047,0.73179,0.78163,0.39533,1.60027,1.25317,1.78002,0.0018614,0.0018614,0.0018614
9,92.1503,1.37375,1.12733,1.52467,0.76675,0.75828,0.80674,0.43127,1.46142,1.18547,1.68402,0.0018416,0.0018416,0.0018416
10,102.296,1.34748,1.10049,1.53903,0.84508,0.6755,0.77555,0.41765,1.63672,1.24618,1.88226,0.0018218,0.0018218,0.0018218
11,112.435,1.35382,1.07215,1.52121,0.79371,0.7947,0.80219,0.43196,1.5193,1.14749,1.78209,0.001802,0.001802,0.001802
12,122.664,1.30984,1.0563,1.48727,0.81333,0.80791,0.84169,0.50178,1.2993,1.07645,1.56646,0.0017822,0.0017822,0.0017822
